Judul,Tahun,Abstract
"Sistem Informasi Spesifikasi Kualitas Jamur Tiram Menggunakan Metode Promethee
                    ﻿",2020,"Jamur tiram dengan nama latin Pleurotus ostreatus adalah salah satu dari beberapa jenis jamur yang dapat dikonsumsi sebagai bahan pangan masyarakat dalam kehidupan sehari-hari. Adapun ciri-ciri umum yang dapat kita temukan pada jamur tiram, antara lainnya yaitu tubuh jamur berwarna putih hingga kecoklatan muda, memilili tudung yang berbentuk setengah lingkaran menyerupai cangkang tiram dengan bagian tengah yang agak cekung. Jamur tiram adalah tanaman yang tidak mempunyai klorofil namun memilik spora untuk berkembangbiak dan tumbuh, sehingga jamur tiram membutuhkan organisme lain yang telah mati sebagai makanan. Pada beberapa tahun ini menjadi cukup terkenal dikalangan masyarakat karena cita rasanya yang unik dan harganya terjangkau untuk semua kalangan masyarakat, sehingga tidak heran jika banyak bermunculan petani atau pengusahan jamur tiram.
Masalah yang sering dihadapi oleh pengusaha mikro rumahan maupun kemitraan budidaya jamur tiram adalah kurangnya pengetahuan tentang spesifikasi jamur yang baik untuk dijadikan sebagai pengetahuan dasar cara budidaya jamur tiram sedangkan permintaan pasar dalam negeri maupun luar negeri semakin bertambah. Menurut Yustria Handika Seire dan Adi Widarma (2019) menjelaskan bahwa kondisi yg terjadi pada para petani budidaya jamur tiram putih ketika mengikuti pelatihan-pelatihan mengenai kualitas jamur tiram putih.
Hasil daripada penelitian ini adalah sebuah program aplikasi sistem informasi spesifikasi kualitas jamur tiram menggunakan metode promethee yang berbasis website. Dengan perhitungan metode promethee tersebut dapat ditentukan hasil spesifikasi jamur tiram yang baik untuk diproduksi dan siap di distibusikan.
Penerapan metode Promethee pada sistem informasi spesifikasi kualitas jamur tiram “SI Jamur Tiram” ini mengimplementasikan konsep “one click button” dimana
ix
dalam sistem ini melakukan perhitungan nilai dengan kompleks dengan penanda beberapa jalur. Jalur-jalur tersebut meliputi jalur data sukses dan penangan error yang dilakukan oleh sistem .
Sistem informasi dapat dikembangkan kedalam lingkup yang lebih besar dengan target data berupa beberapa usaha jamur tiram yang dijadikan satu dalam satu sistem dan di ambil kualitas jamur tiram paling baik dan berkualitas dan beberapa sample data yang di kumpulkan."
"Pemodelan Perusahaan Menggunakan Metode  For Enterprise Modeling (4em) Pada  Rumah Sakit Citra Husada Jember
                    ﻿",2020,"Perkembangan teknologi informasi dan komunikasi membuat perusahaan harus menyelaraskan dengan kemajuan teknologi serta dapat meningkatkan nilai dari sebuah perusahaan. Rumah Sakit Citra Husada Jember merupakan salah satu perusahaan yang menjalankan jenis usaha bidang jasa dan menyediakan pelayanan kesehatan mendasar hingga unit-unit perawatan khusus dalam upaya memberikan pelayanan terbaik. Rumah Sakit Citra Husada Jember pada Sub Bagian Pemasaran dan Pengelolaan Pelanggan memiliki tujuan utama yang ingin dicapai yaitu meningkatkan jumlah kunjungan. Agar pencapaian tujuan tersebut dapat berjalan dengan baik, maka diperlukan suatu pemodelan, salah satunya dengan Enterprise Modeling.
Enterprise Modeling (EM) atau pemodelan perusahaan merupakan cara kerja terstruktur yang mencakup berbagai perspektif, yakni: tujuan, proses, aktor dari suatu perusahaan atau situasi permasalahan secara terpadu. Salah satu metode yang dapat digunakan dalam EM adalah For Enterprise Modeling (4EM). 4EM menggambarkan pendekatan yang memungkinkan untuk perusahaan atau bagian dari perusahaan, beserta struktur dan prosesnya, untuk dianalisis, diteliti, dan didokumentasikan dalam bentuk model dimana 4EM ini memiliki enam area sub model. Penelitian ini melakukan pemodelan perusahaan berdasarkan data yang telah diperoleh terhadap Sub Bagian Pemasaran dan Pengelolaan Pelanggan. Hasil yang didapatkan dari penelitian ini yaitu model yang representatif dengan situasi saat ini pada Sub Bagian Pemasaran dan Pengelolaan Pelanggan serta strategi yang mendeskripsikan hal-hal dalam meningkatkan jumlah kunjungan Rumah Sakit Citra Husada Jember."
"Penentuan Prioritas Pengembangan Investasi TI pada Perusahaan Air Minum Daerah (PDAM) Kabupaten Jember
                    ﻿",2020,"Kementerian industri Indonesia telah merancang beberapa strategi untuk mengimplementasikan Making Indonesia 4.0 yang merupakan upaya untuk memasuki era revolusi industri 4.0 (Hartarto, 2019). Revolusi industri 4.0 merupakan sebuah perkembangan dalam sektor industri yang terfokus di bidang teknologi dan sistem informasi (Liu & Xu, 2017). Hal ini berpengaruh terhadap seluruh rantai nilai industri sehingga menciptakan model bisnis baru yang berbasis digital untuk mencapai efisiensi yang tinggi dan kualitas produk yang lebih baik. Penerapan teknologi dan sistem informasi akan memberikan manfaat bagi perusahaan yang menerapkannya sesuai dengan visi dan misi utama perusahaan tersebut, sehingga diperlukan adanya perencanaan strategi dalam pengembangan teknologi dan sistem informasi agar dapat selaras dengan bisnis (Nurhayati, 2009). Menurut peraturan Mendagri No. 23 tahun 2006 menyatakan bahwa PDAM adalah Badan Usaha Milik Daerah yang bergerak di bidang pelayanan air minum (Kementerian Dalam Negeri, 2006). Ketua Tim Assessment TI PDAM Kabupaten Jember menyatakan bahwa terdapat beberapa sistem informasi yang akan dikembangkan pada tahun 2020 hingga 2021 diantaranya, Sistem Informasi Gudang dan Manajemen Aset (SIGMA) yang akan menggantikan Sistem Informasi Inventory Control (SIVIC), Sistem Informasi Geografis Pelayanan Air Minum (SIGPAM), Sistem Informasi Manajemen Pelanggan (SIMPEL), Aplikasi Android “PDAM Jember All-in-One”, Sistem Informasi Manajemen Produksi (SIMPRO), Sistem Informasi Manajemen Transmisi & Distribusi (SIMTRAN), Sistem Informasi Manajemen Pegawai (SIMPEG), serta Pembangunan Data & Command Center"
"Perancangan User Interface Untuk Aplikasi Pembelajaran Berbasis Mobile Bagi Penderita Disleksia Menggunakan Metode User Centered Design
                    ﻿",2020,"Disleksia merupakan kesulitan belajar membaca yang tidak ada hubungannya dengan Intelligence Quotient (IQ), penderita disleksia memiliki IQ yang normal bahkan diatas rata-rata. Disleksia lebih disebabkan oleh gangguan pada asosiasi daya ingat yang berarti minimnya kemampuan seseorang untuk memanggil kembali informasi yang telah dipelajari dan disimpan dalam otak. Akan tetapi karena kemampuan membaca merupakan keterampilan dasar bagi kemampuan berbahasa lainnya maka dapat dimengerti jika banyak yang mendefinisikan bahwa disleksia merupakan gangguan membaca dan juga menulis (Nofitasari, Ernawati, & Warsiyanti, 2015). Dari pernyataan tersebut dapat dikatakan bahwa ternyata anak penderita disleksia juga memiliki potensi kecerdasan yang sama dengan anak lainnya, hanya saja anak-anak disleksia memiliki gangguan dari daya ingatnya. Terdapat beberapa metode pembelajaran yang dapat diberikan untuk anak penderita disleksia salah satunya adalah metode pembelajaran dengan menggunakan metode multisensori. Nurdayati Praptiningrum dan Purwandari pada penelitiannya tahun 2009 mengatakan bahwa, metode multisensori dapat diberikan untuk melatih kemampuan membaca anak disleksia. Metode multisensori melibatkan seluruh jenis sensori seperti melibatkan fungsi perabaan, visual, auditori dan pengucapan (Praptiningrum & Purwandari, 2009).
Dengan adanya perkembangan teknologi, jenis pengobatan dan terapi bisa dilakukan dengan menggunakan sebuah aplikasi. Salah satu penggunaan teknologi dalam bidang kesehatan adalah adanya aplikasi yang dapat membantu anak–anak disleksia melalui metode multisensori. Aplikasi tersebut dapat ditemukan di Perpustakaan balai kota Surabaya, yaitu Lexipal. Lexipal adalah aplikasi berbasis desktop yang ada di Dyslexia Corner, Perpustakaan Balai Kota Surabaya. Penggunadari aplikasi ini rata – rata adalah anak – anak yang usianya di bawah 12 tahun dan ingin belajar melatih sensor motorik mereka. Sayangnya Lexipal merupakan aplikasi berbasis desktop yang hanya bisa diakses melalui 1 perangkat dan hanya ada di Dyslexia Corner Surabaya.
Berdasarkan uraian tersebut peneliti akan melakukan perancangan UI berbasis mobile pada aplikasi pembelajaran untuk melatih sensor motorik bagi penderita disleksia. Metode yang dipilih untuk digunakan dalam penelitian ini adalah metode UCD (User Centered Design), metode ini dipilih karena penelitian ini berfokus pada karakteristik pengguna yang membutuhkan perhatian khusus dalam menggali kebutuhan untuk merancang sebuah UI. Pada penelitian ini pengguna juga dilibatkan dalam tahapan penelitian dari analisis kebutuhan hingga fase testing, penelitian ini merancang sebuah UI dalam bentuk High-fidelity hingga fase prototyping dengan mengadaptasi metode pembelajaran melalui sensor motorik dengan subtansi materi yang akan digunakan meliputi pengenalan huruf, angka, dan juga bentuk geometri. Diharapkan dengan penelitian ini dapat menciptakan UI yang sesuai dengan kebutuhan penderita disleksia yang mudah dan nyaman digunakan"
"Penerapan Metode Antropometri Untuk Menentukan Status Gizi Anak Pada Pengembangan Sistem Informasi Posyandu (Studi Kasus : Sistem Informasi Posyandu Probolinggo)
                    ﻿",2020,"Posyandu merupakan salah satu bentuk Upaya Kesehatan Bersumber Daya Masyarakat (UKBM) yang dikelola dan diselenggarakan dari, oleh, untuk dan bersama masyarakat dalam penyelenggaraan pembangunan kesehatan, guna memberdayakan masyarakat dan memberikan kemudahan kepada masyarakat dalam memperoleh pelayanan kesehatan. Posyandu sendiri memiliki lima kegiatan utama diantaranya adalah pelaynan kesehatan ibu dan anak (KIA), program keluarga berencana (KB), imunisasi, pemantauan status gizi, dan juga pencegahan dan penanggulangan diare.Penilaian status gizi di Indonesia sendiri mengadopsi metode antropometri. Kelebihan metode antropometri diantaranya adalah prosedur sederhana, aman, dan dapat dikerjakan dalam kelompok besar. Permasalahan status gizi di Jawa Timur pada tahun 2018 mencapai 16,78 persen sedangkan di Kabupaten Probolinggo kurang lebih mencapai 21 persen.Pencatatan dan perhitungan secara manual masih menjadi permasalahan yang dialami oleh posyandu di daerah Kabupaten Probolinggo.Untuk menyelesaikan permasalahan tersebut dikembangkanlah sebuah sistem informasi posyandu yang bertujuan untuk membantu kinerja para pelaku kegiatan posyandu.Sistem informasi yang akan dikembangkan menggunakan metodologi RAD (Rapid Application Development). Metodologi RAD berfungsi untuk mengembangkan sistem informasi dengan waktu pengerjaan secara cepat dan juga melibatkan pengguna secara langsung, Metode RAD juga menggunakan komponen dari sistem sebelumnya sehingga dapat membantu peneliti menyelesaikan dengan konsep yang dimiliki posyandu Desa Tanjungsari Kecamatan Krejengan Kabupaten Probolinggo"
"Analisis Penerapan Metode Steganografi Histogram Shifting Sebagai Alternatif Otentikasi pada Aplikasi Web Hosting
                    ﻿",2020,"Otentikasi merupkan proses yang umum pada kebanyakan sistem informasi
atau aplikasi saat ini. Proses ini bertujuan untuk mengetahui apakah seseorang
memang benar memiliki hak untuk mengakses sistem atau aplikasi. Bentuk
otentikasi yang banyak digunakan adalah otentikasi menggunakan kata sandi
berbasis teks. Meski banyak digunakan, metode tersebut memiliki kelemahan
karena mengharuskan seseorang untuk membuat kata sandi yang tidak mudah
ditebak dan sekaligus mengingatnya. Hal ini dapat membuat seseorang
menggunakan kata sandi yang sama untuk banyak akun. Karenanya, dibutuhkan
alternatif metode otentikasi yang tidak membebani ingatan sesorang.
Histogram Shifting merupakan salah satu metode steganografi reversible data
hiding dengan media citra. Metode ini menggunakan histogram citra untuk
mendapatkan nilai peak dan zero point. Kedua nilai tersebut digunakan pada proses
pergeseran histogram untuk menyisipkan pesan rahasia. Kedua nilai juga digunakan
kembali ketika pesan rahasia diekstrak dan histogram digeser kembali ke awalnya.
Modul otentikasi yang dikembangkan terdiri dari fitur registrasi, log in, dan
pemulihan kata sandi atau citra. Fitur registrasi menerapkan metode Histogram
Shifting untuk menyisipkan kredensial pengguna ke dalam citra. Citra stego hasil
penyisipan selanjutnya dapat digunakan untuk masuk ke akun pengguna. Fitur log
in mengekstrak kredensial pengguna dari citra stego untuk dicocokkan dengan data
di basis data. Jika data kredensial yang diekstrak sesuai dengan data di basis data,
maka pengguna diotentikasi masuk ke akunya. Fitur pemulihan citra dapat
digunakan untuk memperbarui kata sandi dan citra stego pengguna. Pengguna
diharuskan memasukkan email dan tanggal lahir yang digunakan ketika melakukan
registrasi. Email berisi URL pemulihan akan dikimkan ke alamt email pengguna 
jika data pengguna ditemukan di basis data. Setelah membuka URL tersebut,
pengguna dapat memperbarui kata sandi dan citra stego milikinya.
Pengujian dilakukan terhadap citra stego dan waktu eksekusi pada proses
registrasi dan log in. Pengujian kualitas citra (fidelity) menghasilkan nilai PSNR
rata-rata sebesar 52,52 dB, yang mana berarti citra memiliki kualitas tinggi.
Pengujian kemampuan pemulihan (recovery) atau ekstraksi menunjukkan
kesepuluh citra yang diuji mampu digunakan untuk masuk ke akun pengguna. Hal
ini berarti kredensial pengguna berhasil diekstrak dengan tepat. Pengujian
ketahanan (robustness) pesan rahasia terhadap berbagai teknik manipulasi citra
menunjukkan bahwa pesan rahasia tidak tahan dengan semua teknik manipulasi
yang dicoba. Citra yang telah dimanipulasi tidak dapat digunakan untuk masuk ke
akun pengguna. Sementara untuk pengujian waktu eksekusi menghasilkan waktu
rata-rata 0,265 detik untuk proses regsitrasi, dan 0,119 detik untuk proses log in.
Pengujian kedua proses dilakukan sebanyak masing-masing 10 kali, menggunakan
citra beresolusi 600 x 600 piksel."
"Implementasi Risk Based Internal Auditing (Studi Kasus pada Inspektorat Kabupaten Banyuwangi)
                    ﻿",2020,"Penelitian ini bertujuan untuk memberikan gambaran tentang bagaimana Inspektorat Kabupaten Banyuwangi mengimplementasikan risk based internal auditing. Penelitian ini menggunakan jenis penelitian kualitatif dengan menggunakan teknik wawancara. Hasil penelitian menunjukkan bahwa sejauh ini implementasi risk based internal auditing di Inspektorat Kabupaten Banyuwangi sudah berjalan sesuai dengan Peraturan Pemerintah Reupblik Indonesia Nomor 60 Tahun 2008 tentang Sistem Pengendalian Intern Pemerintah pasal 13 ayat 1 tentang penilaian risiko dan ayat 2 tentang identifikasi risiko dan analisis risiko. Terkait dengan pelaksanaannya Inspektorat Banyuwangi masih belum lama malaksanakan risk based internal auditing ini, sehingga masih mengalami banyak kendala dan harus terus dibenahi kedepannya"
"Evaluasi Teknologi Informasi Pada Rumah Sakit  Nahdlatul Ulama (Rsnu) Banyuwangi  Menggunakan It Balanced Scorecard
                    ﻿",2020,"Informasi memiliki manfaat sebagai alat untuk pengambilan keputusan dalam 
menyelesaikan masalah dan sebagai sumber pengetahuan mengenai keadaan atau 
situasi di lingkungan sekitar. Menurut Peraturan Menteri Kesehatan Republik 
Indonesia Nomor 82 tahun 2013 dan Undang-Undang Nomor 44 Tahun 2009 pasal 
52 ayat 1 yang menyebutkan bahwa setiap rumah sakit wajib menyelenggarakan 
Sistem Informasi Manajemen Rumah Sakit (SIMRS). TI dapat digunakan untuk 
membantu menyediakan layanan di bidang kesehatan dalam bentuk layanan 
pemeriksaan dokter, penyediaan obat, rawat inap, rawat jalan maupun tindakan 
medis. Penggunaan TI di rumah sakit akan membuat proses bisnis di rumah sakit 
menjadi efektif, efisien, produktif, serta masalah-masalah yang sering muncul di 
rumah sakit dapat diminimalisir (Adi, 2016)."
"Analisa Pengaruh Aplikasi E-Commerce Klikindomaret Terhadap Penerimaan Pengguna DI Kabupaten Jember Menggunakan Technology Acceptance Model (Tam)
                    ﻿",2020,"KlikIndomaret merupakan inovasi dari Indomaret berupa one stop online store yang menyediakan berbagai macam produk dalam satu situs tanpa perlu datang langsung ke gerai Indomaret. KlikIndomaret itu sendiri sudah diterapkan khusunya di Kabupaten Jember, namun tidak semua Indomaret yang ada di Kabupaten Jember menerapkan aplikasi KlikIndomaret. Beberapa Indomaret di Kabupaten Jember yang telah menerapkan KlikIndomaret antara lain Indomaret Hayam Wuruk (Kaliwates), Indomaret Patrang, Indomaret Kencong, Indomaret Ambulu, Indomaret Kalisat 2, dan Indomaret Pajajaran (Sumbersari). Dalam pelaksanaan KlikIndomaret tidak serta merta mengalami kesuksesan, melainkan tidak lepas dari permasalahan yang timbul. Oleh karena itu, diperlukan analisa penerimaan pengguna untuk mengetahui faktor-faktor apa saja yang berpengaruh terhadap penerimaan aplikasi KlikIndomaret dengan menggunakan metode yang dikembangkan oleh Davis yang dikenal dengan Technology Acceptance Model (TAM).
Dalam TAM terdapat 4 variabel yang telah ditetapkan, selain itu ada penambahan 2 variabel eksternal dalam penelitian ini. Variabel-variabel yang digunakan dalam penelitian ini diantaranya persepsi terhadap manfaat (Perceived Usefulness), kemudahan penggunaan (Perceived Ease of Use), perilaku untuk tetap menggunakan (Behavior Intention to Use), kondisi nyata menggunakan sistem (Actual System Usage), kepercayaan (trust) dan persepsi risiko (perceived risk). Dari 6 variabel yang telah ditentukan terdapat 8 hipotesis yang akan diteliti. Dalam melakukan pengujian diperlukan pengolahan data dengan Structural Equation Model (SEM)."
"Studi Kualitatif Terhadap Penggunaan Aplikasi War (We Are Ready) Sebagai Kanal Pengaduan Warga Di Wilayah Kabupaten Jember (Studi Kasus: Polres Jember)
                    ﻿",2020,"Aplikasi War (We are ready) ialah layanan TI berbasis android yang
berfungsi sebagai media pengaduan dan layanan publik yang ada di Polisi Resort
Jember ( (Polres Jember, 2019). Aplikasi ini menjadi perantara masyarakat
Jember dengan Polisi, yang mencakup kebutuhan keamanan dan pealayan publik
yang terkait dengan tugas dan tanggungjawab kepolisian. Pada tahun pertama,
aplikasi WAR mampu berjalan dan diterima oleh masyarakat dengan antusias
yang tinggi, namun di tahun kedua aplikasi WAR mengalami penurunan aktivitas
pengguna, bahkan pada tahun 2020 warga yang melapor pada aplikasi WAR
sejumlah 1-2 pelapor per bulannya. Warga jember lebih memilih melapor dengan
datang langsung ke SPKT ( Sentra Pelayanan Kepolisian Tepadu) dengan Jumlah
laporan minimal 200 setiap bulannya. Sehingga perlu dilakukan penelitian untuk
mencari alasan penggunaan aplikasi war mulai menurun. Penelitian kualitatif
digunakan pada penelitian ini untuk mengetahui manfaat dan hal yang memotivasi
warga untuk menggunakan aplikasi WAR, serta mengetahui faktor-faktor internal
dan eksternal yang menjadi alasan warga Jember yang melapor melalui SPKT."
